ID,Case Number,Date,Block,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,Year,Updated On,Latitude,Longitude
23060,JA100278,1/1/2017 6:18,046XX W MONROE ST,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1113,11,28,25,2017,1/8/2017 15:48,41.87929064,-87.74159851
23059,JA100252,1/1/2017 5:19,046XX N BROADWAY,FIRST DEGREE MURDER,TAVERN,TRUE,FALSE,1914,19,46,3,2017,4/13/2017 15:51,41.96608155,-87.6579085
23061,JA102602,1/3/2017 12:20,034XX W FULTON BLVD,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1123,11,28,27,2017,1/10/2017 15:59,41.88634071,-87.7119996
23062,JA103468,1/3/2017 23:52,032XX W LEXINGTON ST,FIRST DEGREE MURDER,ALLEY,FALSE,FALSE,1134,11,24,27,2017,1/10/2017 15:59,41.87186844,-87.70661031
23063,JA102602,1/4/2017 0:41,034XX W FULTON BLVD,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1123,11,28,27,2017,1/11/2017 15:52,41.88634071,-87.7119996
23064,JA103468,1/4/2017 5:59,032XX W LEXINGTON ST,FIRST DEGREE MURDER,ALLEY,FALSE,FALSE,1134,11,24,27,2017,1/11/2017 15:52,41.87186844,-87.70661031
23065,JA105744,1/5/2017 23:30,008XX E 46TH ST,FIRST DEGREE MURDER,AUTO,FALSE,FALSE,221,2,4,39,2017,1/12/2017 15:52,41.81136567,-87.60561072
23066,HZ564892,1/6/2017 1:43,086XX S MARYLAND AVE,FIRST DEGREE MURDER,PORCH,FALSE,FALSE,632,6,8,44,2017,1/13/2017 15:54,41.7375811,-87.60363407
23067,JA107083,1/7/2017 10:07,013XX W HASTINGS ST,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1233,12,2,28,2017,1/14/2017 15:49,41.86427335,-87.66023297
23068,JA109075,1/9/2017 10:07,045XX W LEXINGTON ST,FIRST DEGREE MURDER,AUTO,FALSE,FALSE,1131,11,24,26,2017,1/16/2017 15:50,41.87151127,-87.7385237
23069,JA109825,1/9/2017 20:20,016XX N KEYSTONE AVE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,2534,25,30,23,2017,1/16/2017 15:50,41.91032347,-87.7275682
23071,JA107908,1/11/2017 11:45,056XX N WESTERN AVE,FIRST DEGREE MURDER,ALLEY,FALSE,FALSE,2011,20,40,2,2017,1/18/2017 15:50,41.9841633,-87.68946648
23072,JA112290,1/11/2017 18:11,042XX S TALMAN AVE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,921,9,12,58,2017,1/18/2017 15:50,41.8165609,-87.69078116
23074,HZ570917,1/11/2017 12:30,056XX S ALBANY AVE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,824,8,14,63,2017,1/18/2017 15:50,41.79128815,-87.70105192
23073,JA113804,1/12/2017 21:31,027XX S HOMAN AVE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1032,10,22,30,2017,1/19/2017 15:56,41.84188854,-87.70984255
23076,JA114779,1/13/2017 16:09,006XX N CENTRAL AVE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1511,15,29,25,2017,1/20/2017 15:50,41.89207771,-87.76528749
23077,JA115261,1/13/2017 22:22,072XX S WASHTENAW AVE,FIRST DEGREE MURDER,AUTO,FALSE,FALSE,831,8,18,66,2017,1/20/2017 15:50,41.76229934,-87.69052009
23083,HZ283873,1/13/2017 21:24,039XX W LEXINGTON ST,FIRST DEGREE MURDER,AUTO,FALSE,FALSE,1132,11,24,26,2017,1/20/2017 15:50,41.87164856,-87.72388372
23078,JA115481,1/14/2017 3:48,060XX S CARPENTER ST,FIRST DEGREE MURDER,APARTMENT,FALSE,FALSE,712,7,16,68,2017,1/21/2017 15:48,41.78442084,-87.65097828
23079,JA115575,1/14/2017 8:34,011XX S FRANCISCO AVE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1135,11,28,29,2017,1/21/2017 15:48,41.86756963,-87.69837702
23080,JA116238,1/14/2017 19:34,055XX W RICE ST,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1524,15,37,25,2017,1/21/2017 15:48,41.89577168,-87.76422264
23081,JA116520,1/15/2017 2:00,047XX W POLK ST,FIRST DEGREE MURDER,ALLEY,FALSE,FALSE,1131,11,24,25,2017,1/22/2017 15:47,41.87047279,-87.74362209
23082,JA116646,1/15/2017 5:50,026XX W VAN BUREN ST,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1125,11,28,28,2017,1/22/2017 15:47,41.87602804,-87.6920695
23084,JA117533,1/16/2017 2:05,008XX N OAKLEY BLVD,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1212,12,32,24,2017,1/23/2017 15:52,41.8960152,-87.68440237
23085,JA116127,1/16/2017 13:35,004XX S CENTRAL AVE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1522,15,29,25,2017,1/23/2017 15:52,41.87439334,-87.76464733
23086,JA117836,1/16/2017 12:11,048XX W HUBBARD ST,FIRST DEGREE MURDER,PORCH,FALSE,FALSE,1532,15,28,25,2017,1/23/2017 15:52,41.88867743,-87.74669759
23088,JA119925,1/17/2017 23:42,001XX N CENTRAL AVE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1523,15,29,25,2017,1/24/2017 15:55,41.88290476,-87.7649501
23087,JA119807,1/18/2017 0:45,000XX W 79TH ST,FIRST DEGREE MURDER,STREET,FALSE,FALSE,623,6,17,44,2017,1/25/2017 15:54,41.75093406,-87.62632502
23090,JA119838,1/18/2017 9:45,051XX S BLACKSTONE AVE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,234,2,4,41,2017,1/25/2017 15:54,41.8018094,-87.59049461
23091,JA120151,1/18/2017 10:12,047XX W FLOURNOY ST,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1131,11,24,25,2017,1/25/2017 15:54,41.87229266,-87.74424056
